epoch,loss,mae,mse
0,6001.642118132085,66.354004,6001.6416
1,6008.16639690255,66.37913,6008.1655
2,6007.518865859178,66.1699,6007.519
3,6006.828342697182,66.1335,6006.828
4,6006.458375560847,66.19339,6006.4585
5,6006.279198480794,66.26891,6006.28
6,6014.256246187225,66.45539,6014.257
7,6013.969406781329,66.22575,6013.969
8,6023.137906245081,66.54875,6023.1377
9,6030.3616036287785,66.30707,6030.3613
